City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,San Patricio,US,88.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
8,Awbari,LY,82.06,clear sky,26.5921,12.7805,فندق أوباري
28,Ixtapa,MX,86.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
34,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Tame,CO,88.84,broken clouds,6.461,-71.73,Hospedaje Santa Ana
45,Kinshasa,CD,86.38,thunderstorm,-4.3246,15.3215,Flat Hotel Alhdeef
47,Butaritari,KI,82.63,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
62,Hithadhoo,MV,83.21,scattered clouds,-0.6,73.0833,Scoop Guest House
83,Saint-Georges,GD,89.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
86,Sohag,EG,80.02,clear sky,26.557,31.6948,Civil Registry - Sohag 1
97,Tomatlan,MX,89.56,scattered clouds,19.9333,-105.25,El Salvial
104,Sevierville,US,82.15,few clouds,35.8681,-83.5618,The Lodge at Five Oaks
105,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
108,Marsh Harbour,BS,84.52,few clouds,26.5412,-77.0636,Abaco Beach Resort
115,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
132,Kudahuvadhoo,MV,83.35,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
149,Vila Do Maio,CV,88.59,scattered clouds,15.1333,-23.2167,Hotel Marilu
161,Waddan,LY,83.57,clear sky,29.1614,16.139,محل الشريف محمد العايب
165,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
167,Santiago Tuxtla,MX,80.89,overcast clouds,18.4667,-95.3,Hotel Santiago Plaza
168,Bubaque,GW,84.13,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
172,Nago,JP,81.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
177,Kavieng,PG,80.47,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
189,Trincomalee,LK,81.81,overcast clouds,8.5711,81.2335,Welcombe Hotel
194,San Jose De Guanipa,VE,89.89,scattered clouds,8.8872,-64.1651,HOTEL 283 SUITES
195,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
202,Trairi,BR,85.78,broken clouds,-3.2778,-39.2689,janelas do mar
203,Madras,IN,85.98,mist,13.0878,80.2785,City home
206,Sinnamary,GF,86.14,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
217,Kavaratti,IN,81.91,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
219,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
232,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
234,Andros Town,BS,85.66,scattered clouds,24.7,-77.7667,Hanks place
237,Garowe,SO,88.05,broken clouds,8.4054,48.4845,Curubo Hotel
238,Umm Lajj,SA,83.23,clear sky,25.0213,37.2685,Moon light Furnished Units
240,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
245,Sao Filipe,CV,80.22,few clouds,14.8961,-24.4956,Hotel Xaguate
247,Carmen,MX,84.24,broken clouds,18.6333,-91.8333,Hotel Lossandes
248,Acandi,CO,82.63,scattered clouds,8.5063,-77.2778,Hotel Patio Bonito
255,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
