City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arcata,US,40.8665,-124.0828,55.92,80,90,0.0,overcast clouds
1,Kotka,FI,60.4664,26.9458,51.06,77,99,18.81,overcast clouds
2,Provideniya,RU,64.3833,-173.3,35.74,98,100,7.14,overcast clouds
3,Pangnirtung,CA,66.1451,-65.7125,37.4,75,75,3.44,broken clouds
4,San Patricio,US,28.017,-97.5169,88.88,37,0,5.73,clear sky
5,Albany,US,42.6001,-73.9662,74.68,74,0,0.87,clear sky
6,Narsaq,GL,60.9167,-46.05,48.42,48,8,6.82,clear sky
7,Torbay,CA,47.6666,-52.7314,58.75,49,40,14.97,scattered clouds
8,Awbari,LY,26.5921,12.7805,82.06,16,0,7.11,clear sky
9,Portland,US,45.5234,-122.6762,53.17,91,90,1.01,mist
10,Rikitea,PF,-23.1203,-134.9692,73.2,78,63,9.4,broken clouds
11,New Norfolk,AU,-42.7826,147.0587,49.91,69,85,1.99,overcast clouds
12,Busselton,AU,-33.65,115.3333,52.09,77,76,8.23,broken clouds
13,Lorengau,PG,-2.0226,147.2712,79.59,77,52,0.49,broken clouds
14,Farso,DK,56.7728,9.3393,56.62,77,96,6.6,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,49.66,43,0,4.61,clear sky
16,Alofi,NU,-19.0595,-169.9187,69.69,100,46,2.3,scattered clouds
17,Avarua,CK,-21.2078,-159.775,71.65,78,8,2.3,clear sky
18,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,8.05,light intensity shower rain
19,Jamestown,US,42.097,-79.2353,76.32,68,40,4.61,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,47.48,96,66,2.44,broken clouds
21,Bluff,NZ,-46.6,168.3333,47.8,90,88,2.51,overcast clouds
22,Kodiak,US,57.79,-152.4072,49.51,57,1,4.61,clear sky
23,Fairburn,US,33.5671,-84.581,76.71,89,90,4.61,overcast clouds
24,College,US,64.8569,-147.8028,37.65,95,90,0.0,light rain
25,Norman Wells,CA,65.282,-126.8329,24.84,93,90,4.61,fog
26,Maningrida,AU,-12.0667,134.2667,78.73,74,100,3.22,overcast clouds
27,Chapais,CA,49.7834,-74.8492,67.78,50,45,8.72,scattered clouds
28,Ixtapa,MX,20.7,-105.2,86.23,62,1,0.0,clear sky
29,East London,ZA,-33.0153,27.9116,67.14,88,0,13.8,clear sky
30,Chokurdakh,RU,70.6333,147.9167,7.05,90,89,5.82,overcast clouds
31,Hobart,AU,-42.8794,147.3294,50.25,74,75,1.01,broken clouds
32,Lloydminster,CA,53.2835,-110.0016,46.08,53,20,2.3,few clouds
33,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,16.11,clear sky
34,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,77,8.99,broken clouds
35,Suining,CN,30.508,105.5733,63.77,92,100,2.55,overcast clouds
36,Atar,MR,20.5169,-13.0499,103.66,10,98,11.81,overcast clouds
37,Tame,CO,6.461,-71.73,88.84,56,82,1.77,broken clouds
38,Lompoc,US,34.6391,-120.4579,68.77,80,90,3.44,overcast clouds
39,Nikolskoye,RU,59.7035,30.7861,51.87,55,40,9.89,scattered clouds
40,Ancud,CL,-41.8697,-73.8203,58.53,67,5,5.35,clear sky
41,Flinders,AU,-34.5833,150.8552,61.21,80,73,3.47,broken clouds
42,Qaanaaq,GL,77.484,-69.3632,19.83,60,41,7.09,scattered clouds
43,Mehamn,NO,71.0357,27.8492,39.38,65,75,16.11,broken clouds
44,Lasa,IT,46.6166,10.7002,57.11,90,71,6.38,broken clouds
45,Kinshasa,CD,-4.3246,15.3215,86.38,62,40,9.22,thunderstorm
46,Brae,GB,60.3964,-1.353,55.31,96,100,12.19,overcast clouds
47,Butaritari,KI,3.0707,172.7902,82.63,65,50,16.04,scattered clouds
